source,target,weight
win,cervical,1
risk,follower,1
mother,die,3
disease,start,1
eat,weird,11
family,your,2
cancer,free,10
doctor,sore,3
TV,sexual,1
girl,lose,1
risk,pap_smear,5
Douglas,throat,3
time,talk,8
Bachmann,HPV,1
comment,oral,1
cancer,advocate,2
news,app,3
virus,rate,1
cancer,woman,78
guy,age,1
dose,effective,5
drug,stop,1
awareness,lower,2
post,cure,1
news,anal,4
doctor,age,5
treatment,prevent,8
Merck,forget,1
today,discuss,1
research,fact,6
find,case,1
touch,cervical_cancer,1
find,side,2
important,cancer,6
join,important,5
event,include,1
Michael,Douglas,1
vaccinate,lead,1
sex,people,3
come,top,1
HPV,predictor,2
preventable,common,3
news,create,1
vaccine,medicine,2
woman,exam,2
night,Gardasil,2
Katie,video,1
story,Michelle,2
