source,target,weight
Texas,leave,1
jag,day,4
full,people,4
reduce,pap,6
team,team,2
serious,just,12
out,thing,5
condom,single,1
HPV_vaccine,HIV,18
finish,Gardasil,1
ask,ask,6
help,hard,1
girl,doctor,22
take,show,4
away,away,2
my,support,19
answer,answer,3
serious,time,6
come,FDA,2
approval,cervical_cancer,25
smear,lesbian,1
halt,Gardasil,1
they,young_woman,7
cervical_cancer,diagnostic,19
virus,must,2
study,between,156
cervical_cancer,ovarian,20
want,place,2
connection,connection,2
man,tell,5
well,HPV_shot,5
understand,Gardasil,3
out,morning,3
day,until,4
see,show,5
Gardasil,adverse,23
now,available,34
cervical_cancer,service,16
please,researcher,2
cervical_cancer,most,385
record,record,1
