source,target,weight
report,researcher,1
clinical,patient,1
daily,post,1
show,Gardasil,4
listen,scientist,1
healthcare,past,1
HPV,happen,7
active,HPV,1
anal,it,3
college,date,1
link,due,1
yall,STD,3
infection,thought,2
virus,notice,1
visit,refuse,1
HPV,develop,9
teenage,infection,1
I,suggest,7
myth,post,1
funny,send,1
science,virus,1
American,indian,1
read,human,1
Prevention,website,1
prevent,wart,1
strain,skin,1
effect,girl,1
person,HPV,14
fox,news,12
family,help,1
come,girl,2
interesting,treatment,1
skin,news,2
gynecologist,appointment,1
system,target,1
picture,smoke,1
response,walk,1
save,reduce,1
flu,early,2
abnormal,vaginal,2
mom,dumb,22
team,have,1
cervical,symptom,9
rate,female,1
back,week,2
way,test,4
story,hit,1
lady,oral,1
early,multiple,2
day,Prevention,1
public,trust,1
country,part,1
Gardasil,long,3
primary,nervous,1
sick,HPV,7
it,HPV,123
daughter,read,2
activity,STI,1
parent,fight,1
cancer,community,1
survivor,woman,1
issue,can,2
screen,warts,1
worry,get,4
multiple,high,1
take,short,1
time,study,1
sexual,contact,18
Prevention,month,1
survey,cervical,1
information,comment,1
Nigerian,it,2
help,fight,3
write,blog,1
woman,put,7
word,type,1
week,guy,1
defend,science,1
critical,tool,1
have,sperm,1
affect,ad,1
fear,it,1
cervical,deny,1
global,fight,1
lead,promiscuous,2
support,group,1
like,she,26
experience,adverse,1
cancer,regular,6
it,neck,2
boy,mandatory,1
vax,reduce,1
time,date,1
it,end,2
virus,infect,2
dumb,parent,1
effect,Gardasil,1
test,program,2
wait,Puff,1
daughter,son,2
remove,year,1
test,awareness,2
case,increase,1
system,hospital,1
full,link,1
cell,awareness,1
chick,tweet,1
protection,Gardasil,1
mammogram,birth,1
normal,get,4
health,tweet,1
comment,screen,1
Twitter,attack,1
affect,smoke,1
white,star,1
minute,screen,1
live,answer,1
year,turn,1
vaccine,waste,1
simple,spread,1
year,woman,53
test,start,2
list,diagnose,1
drive,year,2
virgin,get,3
come,walk,2
Couric,show,1
lethal,cancer,3
topic,wart,1
catch,herpes,2
listen,month,1
medicine,blog,1
information,Hep,1
worldwide,infection,1
I,Pussy,60
weak,status,1
virus,receive,1
current,American,1
petition,smear,3
official,speak,1
lot,controversy,4
human,behavior,1
test,way,4
blog,move,1
Pharma,make,1
fact,Latinas,1
boy,study,3
real,leave,1
medical,video,1
male,herpes,1
mental,health,3
smoke,weak,1
swear,hear,1
transmission,virus,1
information,show,1
urge,cancer,1
vaccine,phase,1
hey,concern,1
screen,doctor,2
lie,HPV,3
result,study,1
ridiculous,deny,1
kick,vaccine,1
India,question,1
STD,recommend,1
low,screen,5
low,abnormal,1
know,American,2
ask,time,2
shoot,call,1
line,vaccine,3
message,cancer,1
vaccine,list,1
datum,source,1
post,genital,1
HPV,vote,3
woman,discussion,1
full,study,1
screen,offer,2
vaccine,target,1
story,event,1
doctor,spread,2
change,sex,1
education,vaccine,1
cure,genital,1
cancer,neck,2
ago,diagnose,1
need,young,1
drug,receive,1
link,poor,2
important,check,1
power,system,1
truth,expert,1
experience,symptom,2
fund,kid,1
man,fact,1
